index,image_link,group_id,entity_name
121924,https://m.media-amazon.com/images/I/71edX7h5LKL.jpg,296366,item_weight
121918,https://m.media-amazon.com/images/I/71ecNyqwZ8L.jpg,625310,item_weight
113156,https://m.media-amazon.com/images/I/61qr+5A+58L.jpg,275506,item_weight
113157,https://m.media-amazon.com/images/I/61qrNTIKfcL.jpg,953313,item_weight
113158,https://m.media-amazon.com/images/I/61qrm3sB+-L.jpg,558374,item_weight
113160,https://m.media-amazon.com/images/I/61qsYuhsePS.jpg,428871,item_weight
113161,https://m.media-amazon.com/images/I/61qtQwV7iJL.jpg,254962,item_weight
113168,https://m.media-amazon.com/images/I/61quQ5XzHcL.jpg,853009,item_weight
113155,https://m.media-amazon.com/images/I/61qquv0CbgL.jpg,386873,item_weight
113171,https://m.media-amazon.com/images/I/61qwT1rXd1L.jpg,866950,item_weight
113172,https://m.media-amazon.com/images/I/61qwxJ9AipL.jpg,275506,item_weight
113173,https://m.media-amazon.com/images/I/61qx8gYT9jS.jpg,749917,item_weight
113175,https://m.media-amazon.com/images/I/61qz+yQRoIL.jpg,254046,item_weight
113176,https://m.media-amazon.com/images/I/61qzrWzp2VL.jpg,636545,item_weight
113178,https://m.media-amazon.com/images/I/61r0GBP4rOL.jpg,225251,item_weight
113179,https://m.media-amazon.com/images/I/61r1foytwQL.jpg,288715,item_weight
121916,https://m.media-amazon.com/images/I/71ebjL-KoMS.jpg,359859,item_weight
121917,https://m.media-amazon.com/images/I/71ebuskVurL.jpg,751862,item_weight
121919,https://m.media-amazon.com/images/I/71ecQjp7AiL.jpg,953313,item_weight
113154,https://m.media-amazon.com/images/I/61qqJ3aul1L.jpg,235178,item_weight
113153,https://m.media-amazon.com/images/I/61qpzAgJLXL.jpg,701880,item_weight
113124,https://m.media-amazon.com/images/I/61qgFReJoAL.jpg,426261,item_weight
113125,https://m.media-amazon.com/images/I/61qhyp9s1WL.jpg,749917,item_weight
113127,https://m.media-amazon.com/images/I/61qi-gAcw8L.jpg,254962,item_weight
113128,https://m.media-amazon.com/images/I/61qieisA-ML.jpg,721522,item_weight
121922,https://m.media-amazon.com/images/I/71edUsGMuML.jpg,296366,item_weight
113131,https://m.media-amazon.com/images/I/61qiuCG922L.jpg,701880,item_weight
